installer,target,package_name,url,confidence
Homebrew,Composer,composer,https://repology.org/project/php:composer/versions,repology
Homebrew,Conan,conan,https://repology.org/project/conan/versions,repology
Homebrew,Conda,miniconda,https://formulae.brew.sh/cask/miniconda,manual
Homebrew,CPAN,perl,https://repology.org/project/perl/versions,repology
Homebrew,CRAN,r,https://repology.org/project/r/versions,repology
Homebrew,dub,dub,https://repology.org/project/dub/versions,repology
Homebrew,Elm,elm,https://formulae.brew.sh/formula/elm,manual
Homebrew,Go,go,https://repology.org/project/go/versions,repology
Homebrew,Gradle,gradle@8,https://repology.org/project/gradle/versions,repology
Homebrew,Hackage,cabal-install,https://repology.org/project/cabal-install/versions,repology
Homebrew,Helm,helm,https://repology.org/project/kubernetes-helm/versions,repology
Homebrew,Hex,elixir,https://repology.org/project/elixir/versions,repology
Homebrew,Julia,julia,https://repology.org/project/julia/versions,repology
Homebrew,LuaRocks,luarocks,https://repology.org/project/luarocks/versions,repology
Homebrew,Maven,maven,https://repology.org/project/maven/versions,repology
Homebrew,npm,node,https://formulae.brew.sh/formula/node,manual
Homebrew,NuGet,nuget,https://repology.org/project/nuget/versions,repology
Homebrew,opam,opam,https://repology.org/project/opam/versions,repology
Homebrew,pdm,pdm,https://repology.org/project/pdm/versions,repology
Homebrew,pip,python@3,https://formulae.brew.sh/formula/python@3.13,manual
Homebrew,pnpm,pnpm,https://repology.org/project/pnpm/versions,repology
Homebrew,Poetry,poetry,https://repology.org/project/poetry/versions,repology
Homebrew,pub,dart,https://formulae.brew.sh/cask/dart,manual
Homebrew,RubyGems,ruby@3.2,https://repology.org/project/ruby/versions,repology
Homebrew,Spack,spack,https://repology.org/project/spack/versions,repology
Homebrew,Stack,haskell-stack,https://repology.org/project/haskell:stack/versions,repology
Homebrew,uv,uv,https://repology.org/project/uv/versions,repology
Homebrew,vcpkg,vcpkg,https://repology.org/project/vcpkg/versions,repology
Homebrew,Yarn,yarn,https://repology.org/project/yarn/versions,repology
Maven,Bun,org.mvnpm:bun,https://central.sonatype.com/artifact/org.mvnpm/bun/,ecosystems
Maven,Gradle,dev.gradleplugins:gradle-api,https://central.sonatype.com/artifact/dev.gradleplugins/gradle-api/,ecosystems
Maven,Maven,org.apache.maven:maven,https://central.sonatype.com/artifact/org.apache.maven/maven/,ecosystems
